,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
853,K1III,4914.0 K,-0.07,"['HIP 31674', 'TYC 5373-2001-1', 'Gaia DR2 2951804033248308480']",2.19 M_s,,,3.962,,4.504,4.055,6.11,,,,84.56 pc,,99d25m11.9085s,-12d59m06.4248s,System('HD 47366'),"[Planet('HD 47366 b'), Planet('HD 47366 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 47366,Flags(),System('HD 47366'),6.2 R_s,,1674.0,7366.0,,
854,K1 III,4380.0 K,-0.65,"['Gaia DR2 5583831735369515008', 'HIP 31688', 'TYC 7091-1257-1']",0.99 M_s,,6.43,2.471,,3.179,2.383,5.25,,,,121.36 pc,,99d26m54.2745s,-32d20m23.0335s,System('HD 47536'),"[Planet('HD 47536 b'), Planet('HD 47536 c')]",[],Warm Jupiter,Cold Jupiter,,,,,,,,HD 47536,Flags(),System('HD 47536'),23.47 R_s,,1688.0,7536.0,,
855,K2,4076.0 K,-0.91,[],1.05 M_s,,,,,,,7.5,,,,969.5 pc,,12d25m00s,6d24m26s,System('HD 4760'),[Planet('HD 4760 b')],[],Warm Jupiter,,,,,,,,,HD 4760,Flags(),System('HD 4760'),42.4 R_s,,,760.0,,
856,G5V,5940.0 K,0.17,"['Nosaxa', 'TYC 8108-493-1', 'HIP 31895', 'Gaia DR2 5551551998119947648']",0.93 M_s,,8.78,6.529,,6.842,6.449,8.07,,,,87.4 pc,,100d00m25.9065s,-48d32m31.043s,System('HD 48265'),[Planet('HD 48265 b')],[],Cold Jupiter,,,,,,,,,HD 48265,Flags(),System('HD 48265'),,,1895.0,8265.0,,
857,K0III/IV,4802.0 K,,"['HIP 3975', 'Gaia DR2 2376225982619175424', 'TYC 5272-289-1']",1.32 M_s,,,5.707,,6.25,5.61,8.03,,,,205.45 pc,,12d46m34.1625s,-12d55m39.3704s,System('HD 4917'),[Planet('HD 4917 b')],[],Cold Jupiter,,,,,,,,,HD 4917,Flags(),System('HD 4917'),5.01 R_s,,975.0,917.0,,
858,G5 V,5482.0 K,0.25,"['Gaia DR2 951427000863064192', 'HIP 32916', 'TYC 2946-426-1', 'Nervia']",1.07 M_s,,8.83,,,,,8.1,,,,40.7 pc,,102d52m37.7445s,40d52m03.9255s,System('HD 49674'),[Planet('HD 49674 b')],[],Warm Jupiter,,,,,,,,,HD 49674,Flags(),System('HD 49674'),0.94 R_s,,2916.0,9674.0,,
859,G1V,6102.0 K,0.26,"['HIP 32970', 'TYC 7096-565-1', 'Gaia DR2 5579783574073770112']",1.25 M_s,,,5.884,,6.152,5.836,7.207,,,,46.35 pc,,103d00m30.3645s,-33d54m56.0163s,System('HD 50499'),"[Planet('HD 50499 b'), Planet('HD 50499 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 50499,Flags(),System('HD 50499'),1.35 R_s,,2970.0,499.0,,
860,F8,5902.0 K,-0.07,"['TYC 1894-1961-1', 'HIP 33212', 'Gaia DR2 3380479015342121600']",1.04 M_s,,7.41,5.516,,5.776,5.467,6.86,,,,31.03 pc,,103d40m42.393s,24d14m44.0089s,System('HD 50554'),[Planet('HD 50554 b')],[],Cold Jupiter,,,,,,,,,HD 50554,Flags(),System('HD 50554'),1.11 R_s,,3212.0,554.0,,
861,K0IV,5150.0 K,,"['Gaia DR2 5485320853638354304', 'TYC 8541-519-1', 'HIP 33229', 'GJ 253']",,,8.947,6.451,8.65,6.813,6.328,8.17,,,,34.8 pc,,103d42m50.1165s,-55d15m33.5811s,System('HD 51608'),"[Planet('HD 51608 b'), Planet('HD 51608 c')]",[],Cold Neptune,Cold Neptune,,,,,,,,HD 51608,Flags(),System('HD 51608'),,,3229.0,1608.0,,GJ 253
862,G0 V,6159.0 K,0.21,"['Gaia DR2 3101382419728401408', 'TYC 4822-3681-1', 'Citala', 'HIP 33719']",1.2 M_s,,6.837,5.033,,5.242,4.953,6.3,,,,28.1 pc,,105d04m30.5355s,-5d22m01.7784s,System('HD 52265'),[Planet('HD 52265 b')],[],Cold Jupiter,,,,,,,,,HD 52265,Flags(),System('HD 52265'),1.25 R_s,3.5 Gyr,3719.0,2265.0,,
863,G5IV,5052.0 K,0.15,"['HIP 4297', 'BD+00 142', 'PPM 144054', '2MASS J00550140+0047223', 'SAO 109532', 'TYC 12-104-1', 'Gaia DR2 2537319343919089024']",1.51 M_s,,9.03,5.864,,6.348,5.699,8.05,,,,114.0 pc,,13d45m20.997s,0d47m22.4012s,System('HD 5319'),"[Planet('HD 5319 b'), Planet('HD 5319 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 5319,Flags(),System('HD 5319'),3.26 R_s,,297.0,319.0,,
864,G0V,6012.0 K,0.37,"['HIP 34801', 'TYC 7630-767-1', 'Gaia DR2 5565208310497615232']",1.29 M_s,,8.54,6.686,,6.9,6.591,7.95,,,,78.15 pc,,108d03m44.5515s,-38d10m28.3441s,System('HD 55696'),[Planet('HD 55696 b')],[],Cold Jupiter,,,,,,,,,HD 55696,Flags(),System('HD 55696'),1.52 R_s,,4801.0,5696.0,,
865,K0,4830.0 K,-0.5,"['TYC 2285-548-1', 'BD+34 154', '2MASS J00575670+3459080', 'SAO 54296', 'Gaia DR2 363012289421389056']",1.01 M_s,,8.54,5.34,,5.813,5.221,7.6,,,,222.0 pc,,14d29m10.731s,34d59m07.8994s,System('HD 5583'),[Planet('HD 5583 b')],[],Warm Jupiter,,,,,,,,,HD 5583,Flags(),System('HD 5583'),9.09 R_s,7.4 Gyr,,583.0,,
866,K0IV,4854.0 K,0.06,"['HIP 4552', 'TYC 2285-553-1', 'SAO 54306', 'HR 275', 'BD+33 140', '2MASS J00581422+3357031', 'Gaia DR2 362706006713454208']",1.55 M_s,,6.99,3.88,,4.478,3.826,5.999,,,,56.4 pc,,14d33m33.2839s,33d57m03.1843s,System('HD 5608'),[Planet('HD 5608 b')],[],Cold Jupiter,,,,,,,,,HD 5608,Flags(),System('HD 5608'),5.5 R_s,,552.0,608.0,75.0,
867,G2,5902.0 K,-0.2,"['HIP 801', 'TYC 8028-677-1', 'SAO 231952', 'CD-50 22', 'CPD-50 15', '2MASS J00095283-5016041', 'Gaia DR2 4973621989046219008']",0.961 M_s,,8.9,6.983,,7.218,6.893,8.29,,,,53.6 pc,,2d28m12.3184s,-50d16m04.1606s,System('HD 564'),[Planet('HD 564 b')],[],Cold Jupiter,,,,,,,,,HD 564,Flags(),System('HD 564'),1.01 R_s,5.5 Gyr,1.0,64.0,,
868,G5D,4907.0 K,-0.02,"['TYC 1195-588-1', 'HIP 4715', 'Gaia DR2 2788816827588309120']",1.91 M_s,,9.11,5.725,,6.239,5.621,8.11,,,,251.0 pc,,15d08m17.886s,20d17m32.9518s,System('HD 5891'),[Planet('HD 5891 b')],[],Cold Jupiter,,,,,,,,,HD 5891,Flags(),System('HD 5891'),8.7 R_s,,715.0,891.0,,
869,K2 III,4658.0 K,0.15,[],1.9 M_s,,6.585,3.065,,3.63,2.922,5.45,,,,96.9 pc,,,,Binary('HD 59686'),[Planet('HD 59686 b')],[],Warm Jupiter,,,,,,,,,HD 59686 A,Flags(),System('HD 59686'),13.2 R_s,1.73 Gyr,,9686.0,,
870,,,,[],0.5296 M_s,,,,,,,,,,,96.9 pc,,,,Binary('HD 59686'),[],[],,,,,,,,,,HD 59686 B,Flags(),System('HD 59686'),,,,9686.0,,
871,K0III,4348.0 K,-0.17,"['HIP 37196', 'Gaia DR2 1095822117729707264', 'TYC 4124-812-1']",1.7 M_s,,,,,,,6.9,,,,318.5 pc,,114d37m12.393s,66d14m06.5996s,System('HD 60292'),[Planet('HD 60292 b')],[],Warm Jupiter,,,,,,,,,HD 60292,Flags(),System('HD 60292'),27.0 R_s,,7196.0,292.0,,
872,F6IV-V,6095.0 K,-0.26,"['Gaia DR2 5619121248264726272', 'HIP 36795', 'TYC 5991-217-1', 'GJ 279']",1.44 M_s,,4.94,3.318,,3.703,3.355,4.45,,,,25.7 pc,,113d30m47.703s,-22d17m45.8383s,System('HD 60532'),"[Planet('HD 60532 b'), Planet('HD 60532 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 60532,Flags(),System('HD 60532'),,,6795.0,532.0,,GJ 279
873,K0IIIb,4666.0 K,0.19,"['Pollux', 'Beta Geminorum', 'Beta Gem', 'HIP 37826', 'TYC 1920-2194-1', 'GJ 286']",1.47 M_s,,2.15,,0.2,,,1.15,,,,10.34 pc,,116d19m30s,28d01m34s,System('HD 62509'),[Planet('HD 62509 b')],[],Cold Jupiter,,,,,,,,,HD 62509,Flags(),System('HD 62509'),9.3 R_s,,7826.0,2509.0,,GJ 286
874,G5V,5640.0 K,,"['HIP 38228', 'TYC 1933-747-1', 'Gaia DR2 875071278432954240']",0.99 M_s,,,5.359,,5.624,5.258,6.9,,,,22.42 pc,,117d28m45.906s,27d21m47.4585s,System('HD 63433'),"[Planet('HD 63433 b'), Planet('HD 63433 c')]",[],Warm Super-Earth,Cold Super-Earth,,,,,,,,HD 63433,Flags(),System('HD 63433'),0.91 R_s,,8228.0,3433.0,,
875,K4 V,4841.0 K,0.11,"['TYC 9385-1045-1', 'HIP 37284', 'Gaia DR2 5209903017765189760', 'Ceibo']",0.8 M_s,,10.42,7.18,,7.596,6.998,9.37,,,,35.8 pc,,114d50m27.804s,-78d16m44.3079s,System('HD 63454'),[Planet('HD 63454 b')],[],Warm Jupiter,,,,,,,,,HD 63454,Flags(),System('HD 63454'),,,7284.0,3454.0,,
876,G9V,5432.0 K,-0.16,"['Gaia DR2 5488567574038257280', 'Tapecue', 'HIP 38041', 'TYC 8553-2637-1']",0.865 M_s,,8.85,6.442,,6.768,6.316,8.1,,,,32.6 pc,,116d57m25.803s,-54d15m50.9193s,System('HD 63765'),[Planet('HD 63765 b')],[],Cold Jupiter,,,,,,,,,HD 63765,Flags(),System('HD 63765'),,,8041.0,3765.0,,
877,G7V,5676.0 K,,"['HIP 38392', 'TYC 5415-1170-1', 'Gaia DR2 3037245604373149824']",0.95 M_s,,,6.125,,6.478,6.046,7.718,,,,31.55 pc,,117d58m58.2975s,-11d01m58.7106s,System('HD 64114'),[Planet('HD 64114 b')],[],None Neptune,,,,,,,,,HD 64114,Flags(),System('HD 64114'),,,8392.0,4114.0,,
878,G3 IV,5690.0 K,-0.48,"['HIP 5054', 'TYC 7533-1111-1', 'SAO 192911', 'GJ 9037', 'CD-40 239', 'CPD-40 98', '2MASS J01044015-3929173', 'Gaia DR2 4988158666635743616', 'Nenque']",0.89 M_s,,8.32,6.27,,6.577,6.187,7.72,,,,41.4 pc,,16d10m02.2615s,-39d29m17.5822s,System('HD 6434'),[Planet('HD 6434 b')],[],Warm Jupiter,,,,,,,,,HD 6434,Flags(),System('HD 6434'),1.14 R_s,11.27 Gyr,54.0,434.0,,GJ 9037
879,G5 V,5666.0 K,-0.12,"['TYC 8915-2808-1', 'HIP 38558', 'Gaia DR2 5287961677550103424']",0.92 M_s,,8.65,,,,,7.98,,,,34.3 pc,,118d25m19.7895s,-63d38m50.3532s,System('HD 65216'),"[Planet('HD 65216 b'), Planet('HD 65216 c')]",[],Cold Jupiter,None Jupiter,,,,,,,,HD 65216,Flags(),System('HD 65216'),,,8558.0,5216.0,,
880,K2 III,4305.0 K,-0.36,"['Gaia DR2 3087964941887693056', 'HIP 39311', 'TYC 198-2137-1']",1.1 M_s,,5.669,1.553,2.72,2.199,1.447,4.39,,,,80.9 pc,,120d33m59.0475s,2d20m04.4521s,System('HD 66141'),[Planet('HD 66141 b')],[],Warm Jupiter,,,,,,,,,HD 66141,Flags(),System('HD 66141'),22.0 R_s,,9311.0,6141.0,,
881,G5,5752.0 K,0.31,"['HIP 39417', 'SAO 135426', 'TYC 4846-68-1', 'BD-00 1891', '2MASS J08032866-0109455', 'Gaia DR2 3083043390405346432']",1.061 M_s,,8.97,6.768,,7.044,6.66,8.26,,,,53.4 pc,,120d52m10.008s,-1d09m45.7592s,System('HD 66428'),[Planet('HD 66428 b')],[],Cold Jupiter,,,,,,,,,HD 66428,Flags(),System('HD 66428'),0.98 R_s,,9417.0,6428.0,,
882,F8V,6330.0 K,0.25,"['BD+31 1735', 'PPM 73426', 'TYC 2469-686-1', '2MASS J08073975-3133049', 'HIP 39767', 'Gaia DR2 877846136542812160']",1.36 M_s,,8.55,6.905,,7.098,6.866,8.04,,,,88.8 pc,,121d54m56.3186s,31d33m04.7381s,System('HD 67087'),"[Planet('HD 67087 b'), Planet('HD 67087 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 67087,Flags(),System('HD 67087'),1.55 R_s,1.45 Gyr,9767.0,7087.0,,
883,G5V,5745.0 K,-0.06,"['Gaia DR2 2475153682334693120', 'TYC 5273-16-1', 'HIP 5301']",0.96 M_s,,9.087,6.99,,7.269,6.876,8.45,,,,55.9 pc,,16d57m09.9435s,-8d14m01.3306s,System('HD 6718'),[Planet('HD 6718 b')],[],Cold Jupiter,,,,,,,,,HD 6718,Flags(),System('HD 6718'),1.02 R_s,,301.0,718.0,,
884,G5IV/V,5950.0 K,0.29,"['Gaia DR2 5214002100193281920', 'TYC 9205-1555-1', 'HIP 39589']",1.12 M_s,,9.77,7.697,,7.984,7.697,9.09,,,,78.0 pc,,121d20m55.368s,-74d35m22s,System('HD 68402'),[Planet('HD 68402 b')],[],Cold Jupiter,,,,,,,,,HD 68402,Flags(),System('HD 68402'),1.02 R_s,2.0 Gyr,9589.0,8402.0,,
885,G0,5767.0 K,0.24,"['Nasti', 'TYC 4126-818-1', 'HIP 40687', 'Gaia DR2 1090159839002347136']",1.2 M_s,,8.84,6.812,,7.06,6.743,8.21,,,,58.0 pc,,124d35m32.5905s,61d27m38.5973s,System('HD 68988'),[Planet('HD 68988 b')],[],Warm Jupiter,,,,,,,,,HD 68988,Flags(),System('HD 68988'),1.14 R_s,,687.0,8988.0,,
886,K0V,5385.0 K,-0.05,"['Gaia DR2 5726982995343100928', 'GJ 302', 'TYC 5435-2991-1', 'HIP 40693']",0.86 M_s,,6.74,4.364,,4.953,4.165,5.95,,,,12.6 pc,,124d35m59.2035s,-12d37m55.8102s,System('HD 69830'),"[Planet('HD 69830 b'), Planet('HD 69830 c'), Planet('HD 69830 d')]",[],Warm Neptune,Cold Neptune,Cold Neptune,,,,,,,HD 69830,Flags(),System('HD 69830'),0.895 R_s,,693.0,9830.0,,GJ 302
887,G1-1.5V,5737.0 K,-0.18,"['TYC 197-37-1', 'Gaia DR2 3090083696499829376']",1.0 M_s,,9.3,7.276,7.999,7.558,7.191,8.7,,,,45.7 pc,,125d42m29.292s,1d51m33.5542s,System('HD 70573'),[Planet('HD 70573 b')],[],Cold Jupiter,,,,,,,,,HD 70573,Flags(),System('HD 70573'),,,,573.0,,
888,G5 IV-V,5670.0 K,0.16,"['TYC 7665-696-1', 'Gaia DR2 5540006949934104448', 'HIP 40952', 'GJ 304']",1.0 M_s,,7.89,5.67,,5.954,5.574,7.17,,,,28.8 pc,,125d22m02.0565s,-39d42m19.48s,System('HD 70642'),[Planet('HD 70642 b')],[],Cold Jupiter,,,,,,,,,HD 70642,Flags(),System('HD 70642'),0.84 R_s,,952.0,642.0,,GJ 304
889,K0IV/V,5386.0 K,0.28,"['TYC 8855-128-1', 'Emiw', 'Gaia DR2 4704957491028733824', 'HIP 5529']",0.89 M_s,,8.89,6.329,,6.664,6.229,8.06,,,,36.0 pc,,17d41m48.3195s,-66d11m17.39s,System('HD 7199'),[Planet('HD 7199 b')],[],Cold Jupiter,,,,,,,,,HD 7199,Flags(),System('HD 7199'),0.96 R_s,,529.0,199.0,,
890,G5,4934.0 K,,"['HIP 41997', 'TYC 809-1327-1', 'Gaia DR2 603329694046441472']",1.21 M_s,,,5.712,,6.162,5.614,7.82,,,,126.79 pc,,128d24m09.78s,13d33m02.8405s,System('HD 72490'),[Planet('HD 72490 b')],[],Cold Jupiter,,,,,,,,,HD 72490,Flags(),System('HD 72490'),4.96 R_s,,1997.0,2490.0,,
891,G2 V,5926.0 K,-0.02,"['HIP 42030', 'TYC 4862-360-1', 'BD-01 2075', '2MASS J08340320-0134056', 'SAO 136045', 'Gaia DR2 3073443760538892032']",1.068 M_s,,8.08,6.089,,6.358,5.982,7.47,,,,51.84 pc,,128d30m47.853s,-1d34m05.5793s,System('HD 72659'),[Planet('HD 72659 b')],[],Cold Jupiter,,,,,,,,,HD 72659,Flags(),System('HD 72659'),1.36 R_s,,2030.0,2659.0,,
892,G5V,5688.0 K,0.25,"['Gaia DR2 5722585739105853184', 'TYC 5441-1015-1', 'HIP 42098']",1.02 M_s,,9.5,7.323,,7.606,7.216,8.79,,,,72.78 pc,,128d43m08.922s,-14d27m24.1107s,System('HD 72892'),[Planet('HD 72892 b')],[],Cold Jupiter,,,,,,,,,HD 72892,Flags(),System('HD 72892'),1.22 R_s,8.0 Gyr,2098.0,2892.0,,
893,G8/K0,5570.0 K,0.29,"['TYC 7136-2007-1', 'Gaia DR2 5643762781311698048', 'HIP 42214']",1.05 M_s,,8.84,6.376,,6.719,6.264,8.08,,,,36.5 pc,,129d05m45.2445s,-30d02m15.4418s,System('HD 73256'),[Planet('HD 73256 b')],[],Warm Jupiter,,,,,,,,,HD 73256,Flags(),System('HD 73256'),0.89 R_s,,2214.0,3256.0,,
894,G5V,5317.0 K,0.03,"['HIP 42202', 'TYC 7144-1553-1', 'SAO 199418', 'CD-34 5039', 'CPD-34 2736', '2MASS J08361779-3427358', 'Gaia DR2 5638825939745228544']",0.89 M_s,,9.66,7.126,,7.493,7.062,8.87,,,,54.2 pc,,129d04m26.6275s,-34d27m35.9219s,System('HD 73267'),[Planet('HD 73267 b')],[],Cold Jupiter,,,,,,,,,HD 73267,Flags(),System('HD 73267'),1.04 R_s,7.4 Gyr,2202.0,3267.0,,
